ship,battle,result
Arizona,Pearl Habor,sunk
Bismarck,Denmark Strait,sunk
California,Suriago Strait,ok
Duke of York,North Cape,ok
Fuso,Suriago Strait,sunk
Hood,Denmark Strait,sunk
King George V,Denmark Strait,ok
Kirishima,Guadalcanal,sunk
Prince of Wales,Denmark Strait,damaged
Rodney,Denmark Strait,ok
Scharnhorst,North Cape,sunk
South Dakota,Guadalcanal,damaged
Tennessee,Suriago Strait,ok
Washington,Guadalcanal,ok
West Virginia,Suriago Strait,ok
Yamashiro,Suriago Strait,sunk


